COU,Inventor country,Technology domain,Year,Value
PRT,Portugal,Environment-related technologies,2015,37.51
PRT,Portugal,Environment-related technologies,2016,39.42
PRT,Portugal,Environment-related technologies,2017,32.23
PRT,Portugal,Environment-related technologies,2018,29.9
PRT,Portugal,Environment-related technologies,2019,24.5
PRT,Portugal,Air pollution abatement,2000,1.0
PRT,Portugal,Air pollution abatement,2005,0.75
PRT,Portugal,Air pollution abatement,2010,9.67
PRT,Portugal,Air pollution abatement,2011,2.17
PRT,Portugal,Air pollution abatement,2012,1.33
PRT,Portugal,Air pollution abatement,2013,3.5
PRT,Portugal,Air pollution abatement,2014,0.5
PRT,Portugal,Air pollution abatement,2015,2.03
PRT,Portugal,Air pollution abatement,2016,3.5
PRT,Portugal,Air pollution abatement,2017,1.25
PRT,Portugal,Air pollution abatement,2018,4.5
PRT,Portugal,Air pollution abatement,2019,2.5
SVK,Slovak Republic,Environment-related technologies,1995,6.0
SVK,Slovak Republic,Environment-related technologies,2000,4.67
SVK,Slovak Republic,Environment-related technologies,2005,5.0
SVK,Slovak Republic,Environment-related technologies,2010,17.81
SVK,Slovak Republic,Environment-related technologies,2011,24.23
SVK,Slovak Republic,Environment-related technologies,2012,13.83
SVK,Slovak Republic,Environment-related technologies,2013,13.33
SVK,Slovak Republic,Environment-related technologies,2014,16.5
SVK,Slovak Republic,Environment-related technologies,2015,22.83
SVK,Slovak Republic,Environment-related technologies,2016,23.49
SVK,Slovak Republic,Environment-related technologies,2017,19.81
SVK,Slovak Republic,Environment-related technologies,2018,17.57
SVK,Slovak Republic,Environment-related technologies,2019,13.2
SVK,Slovak Republic,Air pollution abatement,1995,1.0
SVK,Slovak Republic,Air pollution abatement,2005,0.33
SVK,Slovak Republic,Air pollution abatement,2010,1.0
SVK,Slovak Republic,Air pollution abatement,2011,2.33
SVK,Slovak Republic,Air pollution abatement,2012,0.33
SVK,Slovak Republic,Air pollution abatement,2014,1.5
SVK,Slovak Republic,Air pollution abatement,2015,1.5
SVK,Slovak Republic,Air pollution abatement,2016,2.08
SVK,Slovak Republic,Air pollution abatement,2017,3.17
SVK,Slovak Republic,Air pollution abatement,2018,2.83
SVK,Slovak Republic,Air pollution abatement,2019,1.0
ESP,Spain,Environment-related technologies,1995,43.67
ESP,Spain,Environment-related technologies,2000,75.58
ESP,Spain,Environment-related technologies,2005,184.33
ESP,Spain,Environment-related technologies,2010,307.61
ESP,Spain,Environment-related technologies,2011,360.28
ESP,Spain,Environment-related technologies,2012,376.65
ESP,Spain,Environment-related technologies,2013,335.23
ESP,Spain,Environment-related technologies,2014,291.2
ESP,Spain,Environment-related technologies,2015,298.34
ESP,Spain,Environment-related technologies,2016,258.52
ESP,Spain,Environment-related technologies,2017,294.5
ESP,Spain,Environment-related technologies,2018,260.57
ESP,Spain,Environment-related technologies,2019,227.57
ESP,Spain,Air pollution abatement,1995,5.0
ESP,Spain,Air pollution abatement,2000,8.0
ESP,Spain,Air pollution abatement,2005,25.07
ESP,Spain,Air pollution abatement,2010,25.43
ESP,Spain,Air pollution abatement,2011,41.58
ESP,Spain,Air pollution abatement,2012,31.08
ESP,Spain,Air pollution abatement,2013,23.68
ESP,Spain,Air pollution abatement,2014,35.5
ESP,Spain,Air pollution abatement,2015,33.28
ESP,Spain,Air pollution abatement,2016,30.5
ESP,Spain,Air pollution abatement,2017,33.17
ESP,Spain,Air pollution abatement,2018,17.33
ESP,Spain,Air pollution abatement,2019,15.5
SWE,Sweden,Environment-related technologies,1995,184.92
SWE,Sweden,Environment-related technologies,2000,206.27
SWE,Sweden,Environment-related technologies,2005,218.7
SWE,Sweden,Environment-related technologies,2010,368.82
SWE,Sweden,Environment-related technologies,2011,360.59
SWE,Sweden,Environment-related technologies,2012,384.53
SWE,Sweden,Environment-related technologies,2013,400.8
SWE,Sweden,Environment-related technologies,2014,423.83
SWE,Sweden,Environment-related technologies,2015,406.56
SWE,Sweden,Environment-related technologies,2016,434.75
SWE,Sweden,Environment-related technologies,2017,443.25
SWE,Sweden,Environment-related technologies,2018,404.24
SWE,Sweden,Environment-related technologies,2019,392.76
SWE,Sweden,Air pollution abatement,1995,62.83
SWE,Sweden,Air pollution abatement,2000,56.03
SWE,Sweden,Air pollution abatement,2005,73.67
SWE,Sweden,Air pollution abatement,2010,184.4
SWE,Sweden,Air pollution abatement,2011,87.42
SWE,Sweden,Air pollution abatement,2012,99.25
SWE,Sweden,Air pollution abatement,2013,124.5
SWE,Sweden,Air pollution abatement,2014,136.25
SWE,Sweden,Air pollution abatement,2015,113.58
SWE,Sweden,Air pollution abatement,2016,120.33
SWE,Sweden,Air pollution abatement,2017,94.75
SWE,Sweden,Air pollution abatement,2018,85.33
SWE,Sweden,Air pollution abatement,2019,48.33
CHE,Switzerland,Environment-related technologies,1995,182.67
CHE,Switzerland,Environment-related technologies,2000,167.23
CHE,Switzerland,Environment-related technologies,2005,215.37
CHE,Switzerland,Environment-related technologies,2010,348.85
CHE,Switzerland,Environment-related technologies,2011,360.32
CHE,Switzerland,Environment-related technologies,2012,341.68
CHE,Switzerland,Environment-related technologies,2013,308.68
CHE,Switzerland,Environment-related technologies,2014,304.03
CHE,Switzerland,Environment-related technologies,2015,268.43
CHE,Switzerland,Environment-related technologies,2016,287.56
CHE,Switzerland,Environment-related technologies,2017,283.53
CHE,Switzerland,Environment-related technologies,2018,292.93
CHE,Switzerland,Environment-related technologies,2019,297.07
CHE,Switzerland,Air pollution abatement,1995,30.75
CHE,Switzerland,Air pollution abatement,2000,20.23
CHE,Switzerland,Air pollution abatement,2005,36.45
CHE,Switzerland,Air pollution abatement,2010,49.45
CHE,Switzerland,Air pollution abatement,2011,42.25
CHE,Switzerland,Air pollution abatement,2012,50.87
CHE,Switzerland,Air pollution abatement,2013,42.0
CHE,Switzerland,Air pollution abatement,2014,53.5
CHE,Switzerland,Air pollution abatement,2015,35.58
CHE,Switzerland,Air pollution abatement,2016,38.75
CHE,Switzerland,Air pollution abatement,2017,39.53
CHE,Switzerland,Air pollution abatement,2018,43.17
CHE,Switzerland,Air pollution abatement,2019,32.67
TUR,Türkiye,Environment-related technologies,1995,3.83
TUR,Türkiye,Environment-related technologies,2000,6.5
TUR,Türkiye,Environment-related technologies,2005,28.59
TUR,Türkiye,Environment-related technologies,2010,43.32
TUR,Türkiye,Environment-related technologies,2011,57.29
TUR,Türkiye,Environment-related technologies,2012,50.62
TUR,Türkiye,Environment-related technologies,2013,65.5
TUR,Türkiye,Environment-related technologies,2014,90.95
TUR,Türkiye,Environment-related technologies,2015,103.0
TUR,Türkiye,Environment-related technologies,2016,112.68
TUR,Türkiye,Environment-related technologies,2017,148.9
TUR,Türkiye,Environment-related technologies,2018,109.5
TUR,Türkiye,Environment-related technologies,2019,83.5
TUR,Türkiye,Air pollution abatement,1995,2.0
TUR,Türkiye,Air pollution abatement,2000,1.5
TUR,Türkiye,Air pollution abatement,2005,5.03
TUR,Türkiye,Air pollution abatement,2010,7.5
TUR,Türkiye,Air pollution abatement,2011,13.0
TUR,Türkiye,Air pollution abatement,2012,4.33
TUR,Türkiye,Air pollution abatement,2013,19.0
TUR,Türkiye,Air pollution abatement,2014,23.2
TUR,Türkiye,Air pollution abatement,2015,25.83
TUR,Türkiye,Air pollution abatement,2016,14.33
TUR,Türkiye,Air pollution abatement,2017,17.62
TUR,Türkiye,Air pollution abatement,2018,13.5
TUR,Türkiye,Air pollution abatement,2019,13.5
GBR,United Kingdom,Environment-related technologies,1995,381.82
GBR,United Kingdom,Environment-related technologies,2000,579.27
GBR,United Kingdom,Environment-related technologies,2005,689.45
GBR,United Kingdom,Environment-related technologies,2010,1120.17
GBR,United Kingdom,Environment-related technologies,2011,1267.81
GBR,United Kingdom,Environment-related technologies,2012,1212.48
GBR,United Kingdom,Environment-related technologies,2013,1251.67
GBR,United Kingdom,Environment-related technologies,2014,1191.1
GBR,United Kingdom,Environment-related technologies,2015,1210.91
GBR,United Kingdom,Environment-related technologies,2016,1115.43
GBR,United Kingdom,Environment-related technologies,2017,1079.53
GBR,United Kingdom,Environment-related technologies,2018,1133.12
GBR,United Kingdom,Environment-related technologies,2019,1081.95
GBR,United Kingdom,Air pollution abatement,1995,91.53
GBR,United Kingdom,Air pollution abatement,2000,128.5
GBR,United Kingdom,Air pollution abatement,2005,170.43
GBR,United Kingdom,Air pollution abatement,2010,222.16
GBR,United Kingdom,Air pollution abatement,2011,204.37
GBR,United Kingdom,Air pollution abatement,2012,195.9
GBR,United Kingdom,Air pollution abatement,2013,210.83
GBR,United Kingdom,Air pollution abatement,2014,235.17
GBR,United Kingdom,Air pollution abatement,2015,214.67
GBR,United Kingdom,Air pollution abatement,2016,213.73
GBR,United Kingdom,Air pollution abatement,2017,193.48
GBR,United Kingdom,Air pollution abatement,2018,180.5
GBR,United Kingdom,Air pollution abatement,2019,125.45
USA,United States,Environment-related technologies,1995,2215.57
USA,United States,Environment-related technologies,2000,3828.65
USA,United States,Environment-related technologies,2005,5516.71
USA,United States,Environment-related technologies,2010,8485.37
USA,United States,Environment-related technologies,2011,8983.98
USA,United States,Environment-related technologies,2012,9845.59
USA,United States,Environment-related technologies,2013,10555.73
USA,United States,Environment-related technologies,2014,9341.97
USA,United States,Environment-related technologies,2015,9340.58
USA,United States,Environment-related technologies,2016,9447.39
USA,United States,Environment-related technologies,2017,9199.1
USA,United States,Environment-related technologies,2018,8607.33
USA,United States,Environment-related technologies,2019,7540.53
USA,United States,Air pollution abatement,1995,512.03
USA,United States,Air pollution abatement,2000,901.87
USA,United States,Air pollution abatement,2005,1191.83
USA,United States,Air pollution abatement,2010,2124.43
USA,United States,Air pollution abatement,2011,1549.77
USA,United States,Air pollution abatement,2012,1616.73
USA,United States,Air pollution abatement,2013,1816.85
USA,United States,Air pollution abatement,2014,1991.63
USA,United States,Air pollution abatement,2015,1462.12
USA,United States,Air pollution abatement,2016,1419.48
USA,United States,Air pollution abatement,2017,1332.85
USA,United States,Air pollution abatement,2018,1565.4
USA,United States,Air pollution abatement,2019,918.87
AFG,Afghanistan,Environment-related technologies,2013,1.0
AFG,Afghanistan,Environment-related technologies,2014,0.17
ALB,Albania,Environment-related technologies,2012,2.2
ALB,Albania,Environment-related technologies,2013,1.77
ALB,Albania,Environment-related technologies,2014,0.5
ALB,Albania,Environment-related technologies,2015,2.53
ALB,Albania,Environment-related technologies,2016,4.48
ALB,Albania,Environment-related technologies,2017,4.12
ALB,Albania,Environment-related technologies,2018,2.92
ALB,Albania,Air pollution abatement,2016,0.5
DZA,Algeria,Environment-related technologies,2000,0.67
DZA,Algeria,Environment-related technologies,2005,0.83
DZA,Algeria,Environment-related technologies,2010,1.42
DZA,Algeria,Environment-related technologies,2011,2.42
DZA,Algeria,Environment-related technologies,2012,1.75
DZA,Algeria,Environment-related technologies,2013,1.83
DZA,Algeria,Environment-related technologies,2014,1.33
DZA,Algeria,Environment-related technologies,2015,4.0
DZA,Algeria,Environment-related technologies,2016,1.5
DZA,Algeria,Environment-related technologies,2017,0.33
DZA,Algeria,Environment-related technologies,2018,2.5
DZA,Algeria,Environment-related technologies,2019,3.33
DZA,Algeria,Air pollution abatement,2015,1.0
DZA,Algeria,Air pollution abatement,2019,1.0
AND,Andorra,Environment-related technologies,2005,0.5
AND,Andorra,Environment-related technologies,2011,0.83
AND,Andorra,Environment-related technologies,2014,1.17
AND,Andorra,Environment-related technologies,2015,0.2
AND,Andorra,Environment-related technologies,2016,0.5
AND,Andorra,Environment-related technologies,2017,1.0
AND,Andorra,Environment-related technologies,2018,1.0
AND,Andorra,Environment-related technologies,2019,0.33
AGO,Angola,Environment-related technologies,2013,0.5
ATG,Antigua and Barbuda,Environment-related technologies,2017,0.33
ATG,Antigua and Barbuda,Environment-related technologies,2019,0.5
ARG,Argentina,Environment-related technologies,1995,1.33
ARG,Argentina,Environment-related technologies,2000,5.0
ARG,Argentina,Environment-related technologies,2005,10.7
ARG,Argentina,Environment-related technologies,2010,8.83
ARG,Argentina,Environment-related technologies,2011,9.25
ARG,Argentina,Environment-related technologies,2012,17.75
ARG,Argentina,Environment-related technologies,2013,6.81
ARG,Argentina,Environment-related technologies,2014,7.26
ARG,Argentina,Environment-related technologies,2015,8.5
ARG,Argentina,Environment-related technologies,2016,14.08
ARG,Argentina,Environment-related technologies,2017,10.17
ARG,Argentina,Environment-related technologies,2018,10.5
ARG,Argentina,Environment-related technologies,2019,4.33
ARG,Argentina,Air pollution abatement,2005,3.5
ARG,Argentina,Air pollution abatement,2010,2.0
ARG,Argentina,Air pollution abatement,2011,1.83
ARG,Argentina,Air pollution abatement,2012,1.0
ARG,Argentina,Air pollution abatement,2014,0.5
ARG,Argentina,Air pollution abatement,2016,2.33
ARG,Argentina,Air pollution abatement,2017,1.33
ARG,Argentina,Air pollution abatement,2018,2.0
ARM,Armenia,Environment-related technologies,2005,0.5
ARM,Armenia,Environment-related technologies,2010,1.0
ARM,Armenia,Environment-related technologies,2011,2.0
ARM,Armenia,Environment-related technologies,2012,3.83
ARM,Armenia,Environment-related technologies,2013,8.0
ARM,Armenia,Environment-related technologies,2014,2.5
ARM,Armenia,Environment-related technologies,2015,3.92
ARM,Armenia,Environment-related technologies,2016,2.17
ARM,Armenia,Environment-related technologies,2017,1.0
ARM,Armenia,Environment-related technologies,2018,2.0
ARM,Armenia,Environment-related technologies,2019,1.0
ARM,Armenia,Air pollution abatement,2014,1.0
ARM,Armenia,Air pollution abatement,2016,0.33
AZE,Azerbaijan,Environment-related technologies,1995,0.5
AZE,Azerbaijan,Environment-related technologies,2000,0.33
AZE,Azerbaijan,Environment-related technologies,2005,1.58
AZE,Azerbaijan,Environment-related technologies,2010,1.83
AZE,Azerbaijan,Environment-related technologies,2011,3.17
AZE,Azerbaijan,Environment-related technologies,2012,0.5
AZE,Azerbaijan,Environment-related technologies,2013,1.0
AZE,Azerbaijan,Environment-related technologies,2015,0.7
AZE,Azerbaijan,Environment-related technologies,2016,1.5
AZE,Azerbaijan,Environment-related technologies,2017,2.5
AZE,Azerbaijan,Environment-related technologies,2018,0.5
AZE,Azerbaijan,Environment-related technologies,2019,2.5
AZE,Azerbaijan,Air pollution abatement,1995,0.5
AZE,Azerbaijan,Air pollution abatement,2000,0.33
AZE,Azerbaijan,Air pollution abatement,2005,0.33
AZE,Azerbaijan,Air pollution abatement,2010,1.0
AZE,Azerbaijan,Air pollution abatement,2011,0.33
BHS,Bahamas,Environment-related technologies,1995,0.5
BHS,Bahamas,Environment-related technologies,2000,2.0
BHS,Bahamas,Environment-related technologies,2005,1.83
BHS,Bahamas,Environment-related technologies,2010,1.25
BHS,Bahamas,Environment-related technologies,2013,0.5
BHS,Bahamas,Environment-related technologies,2015,0.33
BHS,Bahamas,Environment-related technologies,2019,1.0
BHS,Bahamas,Air pollution abatement,2010,0.5
BHS,Bahamas,Air pollution abatement,2019,0.5
BHR,Bahrain,Environment-related technologies,2005,1.0
BHR,Bahrain,Environment-related technologies,2011,0.2
BHR,Bahrain,Environment-related technologies,2012,1.27
BHR,Bahrain,Environment-related technologies,2013,2.28
BHR,Bahrain,Environment-related technologies,2014,2.5
BHR,Bahrain,Environment-related technologies,2016,1.5
BHR,Bahrain,Air pollution abatement,2005,1.0
BHR,Bahrain,Air pollution abatement,2012,0.57
BHR,Bahrain,Air pollution abatement,2013,0.25
BHR,Bahrain,Air pollution abatement,2014,0.5
BHR,Bahrain,Air pollution abatement,2016,1.5
BGD,Bangladesh,Environment-related technologies,2000,0.5
BGD,Bangladesh,Environment-related technologies,2005,1.08
BGD,Bangladesh,Environment-related technologies,2010,5.58
BGD,Bangladesh,Environment-related technologies,2011,4.0
BGD,Bangladesh,Environment-related technologies,2012,3.28
BGD,Bangladesh,Environment-related technologies,2013,3.25
BGD,Bangladesh,Environment-related technologies,2014,1.0
BGD,Bangladesh,Environment-related technologies,2015,0.5
BGD,Bangladesh,Environment-related technologies,2016,0.67
BGD,Bangladesh,Environment-related technologies,2017,0.37
BGD,Bangladesh,Environment-related technologies,2018,1.83
BGD,Bangladesh,Environment-related technologies,2019,1.33
BGD,Bangladesh,Air pollution abatement,2010,1.0
BGD,Bangladesh,Air pollution abatement,2012,1.0
BGD,Bangladesh,Air pollution abatement,2013,0.5
BGD,Bangladesh,Air pollution abatement,2017,0.2
BRB,Barbados,Environment-related technologies,1995,0.5
BRB,Barbados,Environment-related technologies,2005,0.5
BRB,Barbados,Environment-related technologies,2010,1.0
BRB,Barbados,Environment-related technologies,2011,1.3
BRB,Barbados,Environment-related technologies,2012,0.25
BRB,Barbados,Environment-related technologies,2019,0.5
BLR,Belarus,Environment-related technologies,1995,2.0
BLR,Belarus,Environment-related technologies,2000,4.0
BLR,Belarus,Environment-related technologies,2005,2.83
BLR,Belarus,Environment-related technologies,2010,5.42
BLR,Belarus,Environment-related technologies,2011,4.33
BLR,Belarus,Environment-related technologies,2012,3.0
BLR,Belarus,Environment-related technologies,2013,5.17
BLR,Belarus,Environment-related technologies,2014,3.5
BLR,Belarus,Environment-related technologies,2015,2.83
BLR,Belarus,Environment-related technologies,2016,1.75
BLR,Belarus,Environment-related technologies,2017,5.83
BLR,Belarus,Environment-related technologies,2018,12.5
BLR,Belarus,Environment-related technologies,2019,2.92
BLR,Belarus,Air pollution abatement,2000,1.0
BLR,Belarus,Air pollution abatement,2005,0.33
BLR,Belarus,Air pollution abatement,2011,1.0
BLR,Belarus,Air pollution abatement,2014,0.5
BLR,Belarus,Air pollution abatement,2018,1.0
BLZ,Belize,Environment-related technologies,2013,0.33
BLZ,Belize,Environment-related technologies,2017,1.0
BTN,Bhutan,Environment-related technologies,2018,0.2
BOL,Bolivia,Environment-related technologies,2012,0.5
BOL,Bolivia,Environment-related technologies,2013,0.33
BOL,Bolivia,Air pollution abatement,2013,0.33
BIH,Bosnia and Herzegovina,Environment-related technologies,2005,1.0
BIH,Bosnia and Herzegovina,Environment-related technologies,2010,1.83
BIH,Bosnia and Herzegovina,Environment-related technologies,2011,5.67
BIH,Bosnia and Herzegovina,Environment-related technologies,2012,2.75
BIH,Bosnia and Herzegovina,Environment-related technologies,2013,2.0
BIH,Bosnia and Herzegovina,Environment-related technologies,2014,0.33
BIH,Bosnia and Herzegovina,Environment-related technologies,2015,0.25
BIH,Bosnia and Herzegovina,Environment-related technologies,2016,0.5
BIH,Bosnia and Herzegovina,Environment-related technologies,2017,2.0
BIH,Bosnia and Herzegovina,Environment-related technologies,2018,2.0
BIH,Bosnia and Herzegovina,Environment-related technologies,2019,3.2
BIH,Bosnia and Herzegovina,Air pollution abatement,2010,0.5
BIH,Bosnia and Herzegovina,Air pollution abatement,2011,0.33
BIH,Bosnia and Herzegovina,Air pollution abatement,2014,0.33
BIH,Bosnia and Herzegovina,Air pollution abatement,2015,0.25
BIH,Bosnia and Herzegovina,Air pollution abatement,2019,1.0
BWA,Botswana,Environment-related technologies,2012,0.67
BRA,Brazil,Environment-related technologies,1995,17.83
BRA,Brazil,Environment-related technologies,2000,13.67
BRA,Brazil,Environment-related technologies,2005,44.03
BRA,Brazil,Environment-related technologies,2010,87.42
BRA,Brazil,Environment-related technologies,2011,96.74
BRA,Brazil,Environment-related technologies,2012,87.58
BRA,Brazil,Environment-related technologies,2013,93.88
BRA,Brazil,Environment-related technologies,2014,89.8
BRA,Brazil,Environment-related technologies,2015,109.93
BRA,Brazil,Environment-related technologies,2016,104.33
BRA,Brazil,Environment-related technologies,2017,99.75
BRA,Brazil,Environment-related technologies,2018,95.73
BRA,Brazil,Environment-related technologies,2019,86.9
BRA,Brazil,Air pollution abatement,1995,2.0
BRA,Brazil,Air pollution abatement,2005,8.5
BRA,Brazil,Air pollution abatement,2010,16.0
BRA,Brazil,Air pollution abatement,2011,13.5
BRA,Brazil,Air pollution abatement,2012,13.17
BRA,Brazil,Air pollution abatement,2013,16.48
BRA,Brazil,Air pollution abatement,2014,18.75
BRA,Brazil,Air pollution abatement,2015,16.5
BRA,Brazil,Air pollution abatement,2016,13.5
BRA,Brazil,Air pollution abatement,2017,19.75
BRA,Brazil,Air pollution abatement,2018,17.33
BRA,Brazil,Air pollution abatement,2019,13.5
VGB,British Virgin Islands,Environment-related technologies,1995,1.67
VGB,British Virgin Islands,Environment-related technologies,2000,2.0
VGB,British Virgin Islands,Environment-related technologies,2005,1.33
VGB,British Virgin Islands,Environment-related technologies,2015,0.5
VGB,British Virgin Islands,Environment-related technologies,2017,1.11
VGB,British Virgin Islands,Environment-related technologies,2018,0.5
VGB,British Virgin Islands,Environment-related technologies,2019,1.33
VGB,British Virgin Islands,Air pollution abatement,1995,0.5
BRN,Brunei Darussalam,Environment-related technologies,2012,1.0
BRN,Brunei Darussalam,Environment-related technologies,2013,1.5
BRN,Brunei Darussalam,Environment-related technologies,2014,2.0
BRN,Brunei Darussalam,Environment-related technologies,2015,1.0
BRN,Brunei Darussalam,Environment-related technologies,2016,1.0
BGR,Bulgaria,Environment-related technologies,1995,1.0
BGR,Bulgaria,Environment-related technologies,2000,1.83
BGR,Bulgaria,Environment-related technologies,2005,6.42
BGR,Bulgaria,Environment-related technologies,2010,9.95
BGR,Bulgaria,Environment-related technologies,2011,12.75
BGR,Bulgaria,Environment-related technologies,2012,18.08
BGR,Bulgaria,Environment-related technologies,2013,12.87
BGR,Bulgaria,Environment-related technologies,2014,15.87
BGR,Bulgaria,Environment-related technologies,2015,17.33
BGR,Bulgaria,Environment-related technologies,2016,13.17
BGR,Bulgaria,Environment-related technologies,2017,10.33
BGR,Bulgaria,Environment-related technologies,2018,10.33
BGR,Bulgaria,Environment-related technologies,2019,9.0
BGR,Bulgaria,Air pollution abatement,2010,3.2
BGR,Bulgaria,Air pollution abatement,2012,3.5
BGR,Bulgaria,Air pollution abatement,2013,2.5
BGR,Bulgaria,Air pollution abatement,2014,9.0
BGR,Bulgaria,Air pollution abatement,2015,3.0
BGR,Bulgaria,Air pollution abatement,2016,4.0
BGR,Bulgaria,Air pollution abatement,2017,2.08
BGR,Bulgaria,Air pollution abatement,2018,1.0
BGR,Bulgaria,Air pollution abatement,2019,3.0
BFA,Burkina Faso,Environment-related technologies,2010,0.5
BFA,Burkina Faso,Environment-related technologies,2014,0.5
BDI,Burundi,Environment-related technologies,2010,0.5
KHM,Cambodia,Environment-related technologies,2010,1.0
KHM,Cambodia,Environment-related technologies,2014,0.5
CMR,Cameroon,Environment-related technologies,2010,1.0
CMR,Cameroon,Environment-related technologies,2011,0.33
CMR,Cameroon,Environment-related technologies,2012,0.5
CMR,Cameroon,Environment-related technologies,2016,3.67
CMR,Cameroon,Environment-related technologies,2017,1.5
CMR,Cameroon,Environment-related technologies,2019,0.5
CPV,Cabo Verde,Environment-related technologies,2015,0.67
CPV,Cabo Verde,Environment-related technologies,2016,0.33
CAF,Central African Republic,Environment-related technologies,2005,0.33
CAF,Central African Republic,Environment-related technologies,2011,0.5
CAF,Central African Republic,Environment-related technologies,2015,1.33
CAF,Central African Republic,Environment-related technologies,2016,0.67
CAF,Central African Republic,Air pollution abatement,2005,0.33
CAF,Central African Republic,Air pollution abatement,2016,0.33
CHL,Chile,Environment-related technologies,1995,1.58
CHL,Chile,Environment-related technologies,2000,3.5
CHL,Chile,Environment-related technologies,2005,10.17
CHL,Chile,Environment-related technologies,2010,20.68
CHL,Chile,Environment-related technologies,2011,43.5
CHL,Chile,Environment-related technologies,2012,25.33
CHL,Chile,Environment-related technologies,2013,29.0
CHL,Chile,Environment-related technologies,2014,28.67
CHL,Chile,Environment-related technologies,2015,35.5
CHL,Chile,Environment-related technologies,2016,26.17
CHL,Chile,Environment-related technologies,2017,22.37
CHL,Chile,Environment-related technologies,2018,31.5
CHL,Chile,Environment-related technologies,2019,32.5
CHL,Chile,Air pollution abatement,2010,2.17
CHL,Chile,Air pollution abatement,2011,4.0
CHL,Chile,Air pollution abatement,2012,5.0
CHL,Chile,Air pollution abatement,2013,2.0
CHL,Chile,Air pollution abatement,2015,3.0
CHL,Chile,Air pollution abatement,2016,0.33
CHL,Chile,Air pollution abatement,2017,1.33
CHL,Chile,Air pollution abatement,2018,5.0
CHL,Chile,Air pollution abatement,2019,2.5
CHN,China (People's Republic of),Environment-related technologies,1995,32.67
CHN,China (People's Republic of),Environment-related technologies,2000,93.58
CHN,China (People's Republic of),Environment-related technologies,2005,559.85
CHN,China (People's Republic of),Environment-related technologies,2010,1853.08
CHN,China (People's Republic of),Environment-related technologies,2011,2019.56
CHN,China (People's Republic of),Environment-related technologies,2012,2307.91
CHN,China (People's Republic of),Environment-related technologies,2013,2412.14
CHN,China (People's Republic of),Environment-related technologies,2014,2495.23
CHN,China (People's Republic of),Environment-related technologies,2015,3032.88
CHN,China (People's Republic of),Environment-related technologies,2016,4200.27
CHN,China (People's Republic of),Environment-related technologies,2017,5116.21
CHN,China (People's Republic of),Environment-related technologies,2018,5426.79
CHN,China (People's Republic of),Environment-related technologies,2019,5910.14
CHN,China (People's Republic of),Air pollution abatement,1995,7.33
CHN,China (People's Republic of),Air pollution abatement,2000,16.17
CHN,China (People's Republic of),Air pollution abatement,2005,71.53
CHN,China (People's Republic of),Air pollution abatement,2010,164.16
CHN,China (People's Republic of),Air pollution abatement,2011,182.48
CHN,China (People's Republic of),Air pollution abatement,2012,169.17
CHN,China (People's Republic of),Air pollution abatement,2013,195.67
CHN,China (People's Republic of),Air pollution abatement,2014,297.22
CHN,China (People's Republic of),Air pollution abatement,2015,266.4
CHN,China (People's Republic of),Air pollution abatement,2016,335.35
CHN,China (People's Republic of),Air pollution abatement,2017,428.92
CHN,China (People's Republic of),Air pollution abatement,2018,504.82
CHN,China (People's Republic of),Air pollution abatement,2019,477.67
COL,Colombia,Environment-related technologies,1995,1.5
COL,Colombia,Environment-related technologies,2000,3.0
COL,Colombia,Environment-related technologies,2005,2.25
COL,Colombia,Environment-related technologies,2010,8.95
COL,Colombia,Environment-related technologies,2011,13.92
COL,Colombia,Environment-related technologies,2012,8.58
COL,Colombia,Environment-related technologies,2013,12.64
COL,Colombia,Environment-related technologies,2014,11.05
COL,Colombia,Environment-related technologies,2015,10.03
COL,Colombia,Environment-related technologies,2016,22.58
COL,Colombia,Environment-related technologies,2017,20.5
COL,Colombia,Environment-related technologies,2018,17.92
COL,Colombia,Environment-related technologies,2019,15.03
COL,Colombia,Air pollution abatement,1995,0.5
COL,Colombia,Air pollution abatement,2005,1.0
COL,Colombia,Air pollution abatement,2010,1.58
COL,Colombia,Air pollution abatement,2011,0.5
COL,Colombia,Air pollution abatement,2012,1.5
COL,Colombia,Air pollution abatement,2013,0.64
COL,Colombia,Air pollution abatement,2014,2.47
COL,Colombia,Air pollution abatement,2015,3.2
COL,Colombia,Air pollution abatement,2016,2.5
COL,Colombia,Air pollution abatement,2017,5.0
COL,Colombia,Air pollution abatement,2018,0.5
COL,Colombia,Air pollution abatement,2019,1.0
COG,Congo,Environment-related technologies,2010,0.5
COG,Congo,Environment-related technologies,2016,0.5
CRI,Costa Rica,Environment-related technologies,2005,4.5
CRI,Costa Rica,Environment-related technologies,2010,0.5
CRI,Costa Rica,Environment-related technologies,2012,0.7
CRI,Costa Rica,Environment-related technologies,2014,1.33
CRI,Costa Rica,Environment-related technologies,2016,2.0
CRI,Costa Rica,Environment-related technologies,2017,4.83
CRI,Costa Rica,Environment-related technologies,2018,2.0
CRI,Costa Rica,Environment-related technologies,2019,2.83
CRI,Costa Rica,Air pollution abatement,2005,1.5
CRI,Costa Rica,Air pollution abatement,2016,0.5
CRI,Costa Rica,Air pollution abatement,2017,4.0
CRI,Costa Rica,Air pollution abatement,2018,0.5
CRI,Costa Rica,Air pollution abatement,2019,1.0
CIV,Côte d'Ivoire,Environment-related technologies,2010,0.2
CIV,Côte d'Ivoire,Environment-related technologies,2016,0.33
CIV,Côte d'Ivoire,Environment-related technologies,2017,0.33
